,clusters,mean
DPP6,10,0.20076482651624128
PTPRN2,6,0.2506882852532016
ANGPT2,9,0.004744789949167175
DEFB1,20,0.0071494070580899695
DEFA3,4,0.0002785636545232747
MFHAS1,8,0.04340608864146411
SOX7,17,0.001259058120345371
RP11-297N6.4,12,0.07246906106516192
C8orf48,11,0.00028847180536493457
SGCZ,1,0.03329047147403971
FGF20,21,0.0003691346552609952
MTMR7,4,0.0396729948858988
FGL1,13,0.0074272181956473214
PSD3,14,0.1366506094059303
LZTS1,9,0.009364394510679355
REEP4,2,0.005512216379502203
LGI3,6,0.0009365192036823121
TNFRSF10A,7,0.0007386297369057261
NKX3-1,3,0.005229499269047275
CDCA2,0,0.005668699092566562
PBK,0,0.0053947745474481135
NRG1,9,0.044847791030974166
UNC5D,14,0.10292883311212832
BRF2,10,0.01280682217636133
C8orf86,17,0.0008077399079528655
C8orf4,15,0.002416663836258714
SFRP1,11,0.0059442390061228605
NKX6-3,12,0.007476960719113406
ANK1,12,0.0056531417711641494
CEBPD,13,0.07641843442334122
SNTG1,6,0.010688617025701086
ST18,4,0.10425459845519518
XKR4,17,0.022051692463231694
TOX,9,0.1239494220591261
ASPH,7,0.09394068423489106
CYP7B1,3,0.044570401109197
CRH,11,0.016717479150329187
SULF1,7,0.058990615820702016
RP11-383H13.1,13,0.014050160813305065
KCNB2,4,0.17615662421368752
SBSPON,7,0.0015950972811636965
PI15,21,0.000831143712485365
STMN2,10,0.09942999274484005
TPD52,6,0.23096348786075768
SLC10A5,18,0.0005060467235908958
RALYL,11,0.13244765511055898
MMP16,9,0.03742197727829007
CALB1,5,0.06936777059407147
RUNX1T1,4,0.14013497004133432
GEM,15,0.005804122190042231
NIPAL2,1,0.018641347968473592
KLF10,3,0.12314484515527112
C8orf56,17,0.00028760247283251904
CTHRC1,21,0.0007796211080693345
RIMS2,6,0.2077914046473704
DPYS,21,0.0014659269098746275
ANGPT1,0,0.011532031036456777
TRPS1,15,0.03037084109737807
SLC30A8,14,0.19294961207195588
ENPP2,12,0.06695089728092647
COL14A1,11,0.015379928609025912
C8orf76,9,0.01699511593540701
ATAD2,0,0.028456296651120018
ANXA13,5,0.010391269702822023
MTSS1,4,0.09155821534333199
MYC,13,0.04929130246077425
KCNQ3,16,0.0017525293092765213
ST3GAL1,2,0.06754432973316812
ZFAT,8,0.015155726297796846
FAM135B,10,0.06724517052410584
COL22A1,11,0.008008477149034873
SLC45A4,5,0.037290270721841316
ARC,17,0.030826506882659702
LY6K,12,0.0006285787173142908
LY6H,11,0.01278360515126375
MAFA,7,0.03655459282255399
ZC3H3,7,0.036703285384880775
MROH6,15,0.004268499028622976
CPSF1,3,0.05752559839922558
GLIS3,15,0.29000235574122196
AL161450.1,11,0.0003753440028580809
RLN2,0,0.0015759737882908862
RLN1,21,0.0006642462452232887
PTPRD,9,0.28610079172446695
LURAP1L,0,0.0455797474389876
FREM1,3,0.09092206469732289
SH3GL2,4,0.05962479853315489
PTPLAD2,5,0.0025852665910558376
