,clusters,mean
ZNF804A,21,0.03929410906114838
FSIP2-AS1,0,0.011708002557086976
AC007319.1,17,0.08402279714885262
CALCRL,6,0.01615427691204807
SLC40A1,10,0.15699162371127456
STAT4,12,0.425480133700654
HSPD1,6,0.090559782069257
PLCL1,13,0.19362931841330674
CDK15,3,0.002042956689971457
FAM117B,6,0.1122027120135183
ICOS,12,0.03593236011247637
NRP2,2,0.07777017399575727
ADAM23,12,0.020792574915797505
AC016743.1,10,0.00033478352499325043
CPS1,1,0.35283702573266673
AC093865.1,22,0.10548743601813883
IKZF2,24,0.18033021717327488
AC068051.1,1,0.023468264967516035
IGFBP2,0,0.013712486817122114
DIRC3,0,0.11348542109628418
SLC11A1,21,0.043452861352211485
PLCD4,19,0.0027887356238212235
CYP27A1,0,0.07749802507082747
EPHA4,22,0.03713824192070215
SGPP2,25,0.010286189556513687
NYAP2,0,0.001858081916274981
PID1,10,0.4240074674912655
SP140,16,0.15050129140541224
ASB18,14,0.0005882716673964662
RBM44,15,0.006634636523978227
KIF1A,18,0.0007626782494839428
AC104809.2,2,0.06058268503258964
SNED1,10,0.15039276763328407
GAL3ST2,19,0.0018819314231533324
CNTN4-AS2,5,0.0004626373843182364
AC034195.1,9,0.04130090540232749
BHLHE40-AS1,4,0.014776598156940334
SRGAP3,2,0.12070032865758494
IRAK2,15,0.08806265584097794
HRH1,2,0.08909016099460298
PPARG,9,0.1669422269335111
WNT7A,24,0.0031368574403154784
SH3BP5,8,0.14494258877432187
COLQ,16,0.11211260377682784
AC090948.3,22,0.003424022254742711
SATB1-AS1,20,0.0870474624991217
KCNH8,3,0.006393436318156762
AC061958.1,16,0.00814785725148655
SGO1-AS1,4,0.14765090628561275
ZNF385D,7,0.1009843041366758
UBE2E2,17,0.40416878385719635
EOMES,12,0.0494812165382428
LINC01967,14,0.003523090036352618
RBMS3,2,0.22921749281005155
CMTM8,4,0.1010721541851494
LINC01811,15,0.005075905898232201
STAC,6,0.0035006570565834553
ITGA9,2,0.22171578434148045
CX3CR1,1,0.042311869740931984
TOPAZ1,19,0.000809310285501888
KIF15,15,0.008018923171929973
LZTFL1,4,0.04744140893828364
AC099782.2,1,0.00352986601153512
CCR9,7,0.002440575637457555
LINC02585,0,0.0013897765470408034
MON1A,0,0.014128276107698597
CYB561D2.1,1,0.002698621891679334
DOCK3,23,0.04572138219141901
STAB1,8,0.0965826192588869
ITIH3,10,0.13498426604398203
CACNA2D3,21,0.01774771165963215
LRIG1,20,0.07850225178119358
TAFA1,12,0.11694668263079368
FRMD4B,2,0.4953943446658648
MITF,21,0.18106344564992022
LINC02018,14,0.018504923459093034
LINC02027,4,0.10207292069383375
CADM2,15,0.021042141003536245
MTRNR2L12,16,0.38176475043321184
CMSS1,4,0.1556048079212569
FILIP1L,3,0.07690202506177826
AC020651.2,9,0.00726808847175019
LINC02085,2,0.003813177285307171
ALCAM,8,0.2176408790393781
AC063944.1,6,0.006190262528134714
TRAT1,12,0.05314239968507415
MORC1,0,0.0014934361403004478
AC078980.1,1,0.004061579770830672
CD200R1,5,0.06260584128743828
AC078785.1,4,0.028458717171547635
DRD3,14,0.0018835386118472865
AC093010.2,12,0.02843010930611622
AC026341.1,14,0.02587840127772336
AC068633.1,23,0.01066623742673028
IGSF11,19,0.006234418004204265
ARHGAP31,11,0.13872067012265554
POLQ,8,0.010632704048200178
CD86,17,0.0763406184335657
CASR,13,0.004488731449084003
ITGB5,9,0.10342727893102652
ALDH1L1,22,0.09883661791068996
MGLL,17,0.12450094167646902
GATA2,5,0.0008361734342989593
NPHP3-AS1,0,0.0024944906123964385
TMEM108,15,0.004480066161220747
BFSP2-AS1,22,0.002680034607162108
EPHB1,2,0.02643639560865696
ATP1B3,17,0.06898748780680801
SLC9A9,17,0.6054515097311237
AC107021.1,10,0.009963621164280172
PLOD2,0,0.05702217558476538
PFN2,5,0.002150092742987375
P2RY14,6,0.021651846100915317
MBNL1-AS1,16,0.0778686551521282
AC084036.1,14,0.002171982320710648
PPM1L,10,0.19120469635368093
WDR49,11,0.009015360996816192
SLC2A2,19,0.11326692540425097
NCEH1,2,0.10637342338675272
NAALADL2,17,0.15588201542807215
LINC02015,0,0.034272262837639095
SOX2-OT,22,0.03453927859355899
MCF2L2,22,0.05933459303191483
MAP3K13,4,0.1589954246350927
ETV5,8,0.07813973368509947
AHSG,4,0.15893899838605516
BCL6,6,0.08474046015485018
