,clusters,mean
RABL3,7,0.014274599002687486
POLQ,15,0.020391032062778182
ILDR1,17,0.0034849927967969424
CCDC58,9,0.02996871891181244
SLC12A8,17,0.013107247252725553
SLC41A3,0,0.008953054581515466
GATA2,0,0.0015293999177537474
RPN1,4,0.06636670889695852
ISY1-RAB43,10,0.001010903453517518
H1FX,4,0.05747678041302168
CPNE4,10,0.024025793135665087
TMEM108,1,0.005741404991074003
CLDN18,20,0.00040372775366595337
PAQR9,4,0.056597164205014
ZIC4,20,0.00028091479899958384
CPA3,13,0.0006214280763654033
HLTF,13,0.046853325977801154
CP,8,0.08866106596895294
TM4SF18,20,0.0008018841178949097
WWTR1,8,0.045405385009653486
ANKUB1,16,0.013925269030994324
CLRN1,0,0.00023924242060205866
P2RY14,0,0.0006331180870791337
P2RY13,5,0.00031428001721146875
GPR149,14,0.0015190577375784578
C3orf33,10,0.008880420158331027
CCNL1,16,0.04704241822001312
VEPH1,5,0.005171344163788265
TRIM59,18,0.005811441469564632
WDR49,9,0.0008489711993996155
MECOM,8,0.00475303987317154
EIF5A2,8,0.0009797927840697386
NCEH1,12,0.039159448305336755
NLGN1,1,0.012197496105836673
KCNMB2,5,0.0033959400038953555
PEX5L,0,0.0032668474798500467
CCDC39,10,0.003453377586010722
KLHL6,1,0.0017676212451697803
EPHB3,0,0.0006075106115765818
C3orf70,14,0.003131294598760253
AHSG,1,1.3478961986559543
HRG,2,0.08577154718306929
MB21D2,16,0.02416575679500701
CPN2,2,0.03127167441384142
TM4SF19,11,0.0037542438623174514
MFI2,0,0.0024865798574486755
SLBP,8,0.047285582040013936
TMEM129,2,0.00827860328900492
HAUS3,14,0.004524741065404299
CRMP1,0,0.009021443713556381
CCDC96,1,0.0002798228083838553
HS3ST1,4,0.0009387196604028366
C1QTNF7,0,0.0007211253827316318
LDB2,8,0.02804609852363947
SLIT2,17,0.014957574234931706
PPARGC1A,10,0.09278028498714531
DHX15,19,0.0862646684453856
RELL1,9,0.018859633707043872
UGDH,10,0.09866784092723206
LIMCH1,0,0.007363361836586733
NFXL1,6,0.032388502555399885
TXK,9,0.0047474882321332295
TEC,13,0.009949763699466423
SGCB,1,0.0015198803512706317
KDR,1,0.004536164086074599
CLOCK,12,0.08770605475835473
IGFBP7,0,0.012005980375801271
EPHA5,1,0.004565878263332049
GNRHR,13,0.0012959375945161581
TMPRSS11D,13,0.0030239852455290887
UGT2A3,4,0.017195498749194293
UGT2A1,15,0.00036875414745707373
IGJ,12,0.00039182030840860017
SLC4A4,16,0.020335499168831626
AFP,1,2.0193591592786553
AFM,12,0.06237999442588513
PF4,1,0.01000698008757653
CXCL2,18,0.0003378947846773874
FAM47E-STBD1,1,0.0002883643950214308
SCD5,4,0.00605442372849837
HPSE,11,0.0008700558957743782
HSD17B13,0,0.010448607806506598
MEPE,6,0.0005004077863701653
SPP1,5,0.00812673071959327
SNCA,1,0.043004217548003716
CCSER1,16,0.08884150000773222
STPG2,6,0.07685593910325265
TSPAN5,2,0.04279268018388965
ADH4,12,0.07414188317050469
TRMT10A,7,0.0094202278391984
H2AFZ,3,0.025445356250961938
SLC9B1,7,0.00960517278663527
CENPE,14,0.02476372124540904
ARHGEF38,19,0.0015249971397283749
COL25A1,19,0.01026118168990663
FABP2,17,0.0014351999819917488
PRDM5,16,0.03484567220173449
ANXA5,8,0.03214733818965917
TRPC3,20,0.0006356193068801146
SCLT1,13,0.08725169247112674
