,clusters,mean
SCN11A,19,0.004587371515772974
ENTPD3,18,0.0007599682578421576
TRAK1,10,0.07974676925927966
SEC22C,1,0.018390587970068595
TOPAZ1,5,0.0025297700233343785
LZTFL1,12,0.01038630471742688
PTH1R,7,0.0035840590140487905
DALRD3,11,0.007644984460522546
CACNA2D2,18,0.0017073970211391987
ALAS1,12,0.0374991060939658
BAP1,3,0.03652986073650566
ACTR8,4,0.007061201761774976
SELK,17,0.029130708658805404
ARHGEF3,8,0.060105265465449365
ASB14,6,0.0016662267393695895
FHIT,20,0.3741089559754903
MAGI1,20,0.39223170166705823
SUCLG2,19,0.166014945028862
FAM19A4,8,0.009383668419536468
EOGT,8,0.0034476088654060593
ROBO1,9,0.4193839867407002
MTRNR2L12,7,0.03559074667206831
CLDND1,13,0.030282842267864478
DCBLD2,12,0.07615638475642092
CCDC80,3,0.0010926367341571022
CD200R1,6,0.0007738776472992748
SIDT1,5,0.0011440012528606631
ZBTB20,20,0.6483543828908904
COX17,1,0.023982562980093648
RABL3,2,0.018051882935801934
CASR,17,0.0008550251267209835
CCDC58,4,0.030063413598629747
SLC41A3,11,0.015461907644605297
C3orf22,18,0.0013860586870355078
RPN1,17,0.13823727683917905
GP9,7,0.0037354604329970175
CPNE4,16,0.018354830514436392
ACAD11,20,0.09328047872945522
SLCO2A1,15,0.007073019065950682
MSL2,16,0.03543357263663608
PCOLCE2,4,0.060332361485659826
PLSCR1,0,0.018098243870827684
HLTF,2,0.05427544079665837
CP,3,0.11754329021565794
TM4SF18,21,0.0013377497061220706
WWTR1,17,0.06399818154770355
ANKUB1,4,0.01011833359555972
FAM194A,0,0.0012921842312982568
SIAH2,0,0.06521230793043553
CLRN1,7,0.0005417060974487988
P2RY14,19,0.0008022809329739577
P2RY13,3,0.0008854441247239771
GPR149,18,0.0018589267787767984
C3orf33,19,0.008099218983023097
CCNL1,16,0.03524659748625385
VEPH1,17,0.008491163244058018
TRIM59,14,0.0061333003850369845
ZBBX,1,0.0007906289697521234
MECOM,3,0.0070375435668048126
EIF5A2,12,0.0017014968104978891
PLD1,16,0.0651189095464887
NCEH1,16,0.04511959645418953
NAALADL2,20,0.368155128062197
CCDC39,1,0.002112034228980028
KLHL6,7,0.0036746018901420235
EPHB3,3,0.0009687449021542733
C3orf70,0,0.0038478917310669943
DGKG,0,0.0033216655742351903
HRG,2,0.18874798818580293
MASP1,19,0.10739010539848227
BCL6,19,0.06055297477360564
MB21D2,19,0.019379146555946337
CPN2,13,0.06788927231229756
PPP1R2,16,0.021798490414597277
RP11-447L10.1,8,0.011460053564534401
TM4SF19,8,0.004413366148724242
MFI2,19,0.003694874306818323
IQCG,13,0.01646353406251059
CPLX1,8,0.0013638560990116987
RNF212,3,0.0012472294739253977
SLBP,14,0.09059893846607825
TMEM129,17,0.0192409743487312
HAUS3,6,0.0057522601608736455
MFSD10,1,0.01034549164712603
MSANTD1,19,0.0015405862015818409
CCDC96,5,0.0007028394748668222
C1QTNF7,12,0.0012556463652499818
LDB2,3,0.03405080283428642
SLIT2,16,0.01748075546913993
PPARGC1A,8,0.058513572646415234
DHX15,19,0.09595507432574035
RELL1,15,0.015754999946561078
NFXL1,4,0.020599499872121747
TXK,4,0.004206524587773399
SGCB,12,0.0027347942516285847
SPATA18,0,0.0008289078391471694
KDR,5,0.009486972406523799
CLOCK,10,0.07597507881644065
IGFBP7,17,0.022185532857765443
EPHA5,21,0.008804014475144551
GNRHR,7,0.000985399059479992
TMPRSS11D,11,0.0014820897033146522
UGT2B15,20,0.010985018765191782
UGT2A3,17,0.03562182780696518
SLC4A4,17,0.031207238755683663
NPFFR2,9,0.000694512529241977
AFP,6,3.299558739565925
PPBP,17,0.006719771568251446
FAM47E-STBD1,10,0.0006337985093067312
FRAS1,20,0.07677353456688318
RASGEF1B,13,0.008319144386531113
SCD5,3,0.012629823936227073
PLAC8,1,0.004065403440385363
MAPK10,17,0.014476666298776862
HSD17B13,14,0.015520850438346213
SPP1,17,0.020045042409571417
STPG2,10,0.03975437209917646
TSPAN5,7,0.0768253441667315
ADH4,2,0.08443191012799045
TRMT10A,1,0.010279180126396859
DAPP1,4,0.0016340019049448156
H2AFZ,5,0.05688748952160291
BANK1,16,0.01408407428329949
SLC9B1,17,0.010093968418233045
CENPE,11,0.03536557538981596
ARHGEF38,20,0.001823719434523704
NPNT,17,0.003693701237819527
COL25A1,20,0.010689105959899381
GAR1,1,0.008152960478190432
FABP2,11,0.0008995299022789003
PDE5A,17,0.010801775931036997
TRPC3,5,0.0014056666703639814
SCLT1,20,0.06065260776986795
SLC7A11,15,0.00221159750974774
MAML3,20,0.2044665892561634
CLGN,0,0.016216424344827757
RP11-542P2.1,10,0.0006633594531187502
TTC29,15,0.0009240278092937859
NR3C2,20,0.051946814074007155
MAP9,15,0.015377022310349684
ASIC5,0,0.0006045860315071521
PDGFC,20,0.05632496719900101
C4orf45,13,0.004581603296720522
MARCH1,14,0.011593918802631668
TLL1,20,0.001701806396848821
SH3RF1,20,0.02658860657526436
HAND2,21,0.003284730319962452
HPGD,3,0.004167277211571813
NEIL3,7,0.0038624695769464033
RP11-389E17.1,15,0.0018620803357098095
DCTD,0,0.0345321308192123
CLDN22,11,0.0011767390359345236
IRF2,4,0.03287700939557589
SORBS2,9,0.4064219637848466
PLEKHG4B,3,0.001782908265992487
CCDC127,1,0.009103850519517401
C5orf55,1,0.005597614855928786
CTD-2228K2.5,12,0.006995215627340155
SLC12A7,17,0.028104030270352066
SLC6A19,4,0.004402112009618566
TERT,8,0.0008684588431137207
CLPTM1L,6,0.0341353531708244
ADAMTS16,16,0.0035941591613466817
UBE2QL1,1,0.0016739128352963504
NSUN2,11,0.017011177829904276
ADCY2,2,0.01270452697875741
FASTKD3,12,0.006124124921627
CTNND2,20,0.13377992716616272
FBXL7,20,0.07493793494413514
C5orf17,8,0.016205923377127784
CDH10,4,0.0027408906776099006
CDH6,16,0.034986637228422726
GOLPH3,13,0.08431385168529054
ADAMTS12,14,0.006495414186453195
RP11-1084J3.4,8,0.0643088473550203
LMBRD2,15,0.026091560457876087
RANBP3L,8,0.0036493544902689544
TTC33,16,0.014554158112319165
PRKAA1,17,0.06195496271404363
PLCXD3,20,0.005234610735471615
C5orf34,4,0.0036312855710896636
ANKRD55,10,0.010297374932775568
PLK2,4,0.005180091927802054
ELOVL7,20,0.005879062741500628
RGS7BP,1,0.0013732565472577992
ADAMTS6,10,0.052632091656951534
NAIP,8,0.0016874187048991807
ENC1,10,0.031147579836141127
ANKRD31,19,0.005868445147920644
S100Z,0,0.027228972406198176
CRHBP,2,0.010396307134342366
CCNH,15,0.010882172735563361
ARRDC3,0,0.020606777368575364
KIAA0825,4,0.021036689017576053
MCTP1,5,0.017357307686648952
GLRX,0,0.043033590876868456
SLCO4C1,20,0.06874441947889698
SLCO6A1,12,0.0008646924772560097
EFNA5,20,0.05608539576546703
FBXL17,10,0.1497684543254485
TMEM232,19,0.017063011047196857
STARD4,11,0.06377791211511942
EPB41L4A,3,0.013383442626725186
SEMA6A,16,0.02799254744069583
DTWD2,8,0.022703338882758658
TNFAIP8,20,0.016058289778144986
C5orf63,8,0.008593907844848887
ADAMTS19,7,0.0021978092138922618
SKP1,14,0.06440751374080528
CXCL14,2,0.0021867790168723865
NME5,20,0.0009664059274079568
CDC25C,11,0.0164525092963165
HSPA9,12,0.14364036534808378
MZB1,18,0.0013214184904366609
ECSCR,21,0.0027237993704755385
TMEM173,3,0.0026499983118780483
PRELID2,8,0.054960989424972524
PPP2R2B,10,0.11960041397887351
SPINK13,11,0.0007226290531571114
SH3TC2,7,0.001407077285561887
PCYOX1L,14,0.0035714854280260565
PDE6A,11,0.0008577598511881765
CSF1R,21,0.006909245727153019
ARSI,0,0.0023673536456799774
CD74,2,0.045842701399375164
DCTN4,16,0.0504938647266397
HAVCR2,0,0.011161564526125755
EBF1,5,0.012236756264076115
ATP10B,19,0.0018231551877789219
AC112205.1,7,0.0028150526425853306
NUDCD2,11,0.022642035277203838
TENM2,16,0.06628203945146108
FAM196B,4,0.0006701873669084426
KCNIP1,17,0.006885505607804003
DUSP1,16,0.04270807772462931
BOD1,14,0.022034804010163823
NOP16,1,0.009336079248814121
CLTB,5,0.014381330034893766
HK3,11,0.0006987753744777033
MXD3,2,0.028698708113759245
PRR7,3,0.001607217347893129
FAM153A,10,0.00293511257692165
PHYKPL,19,0.05461510119547924
ADAMTS2,6,0.006300149143447498
CTC-241N9.1,8,0.000774359874468691
TBC1D9B,17,0.02807643702695755
GFPT2,7,0.0008824893070513669
ZFP62,1,0.006098289079496103
GMDS,8,0.057829089532931144
MYLK4,11,0.0014004698841097024
SERPINB9,1,0.006012729759835176
FAM50B,21,0.0027448794230264715
RPP40,0,0.001473343333296513
LYRM4,9,0.0539583161344881
F13A1,7,0.0027859227746224236
SLC35B3,20,0.013064670479703467
MAK,11,0.0046841715995682995
EDN1,5,0.0008688810851153026
TBC1D7,11,0.01144937411910545
AL441883.1,1,0.001310882246282202
NHLRC1,18,0.0007143776987860398
SOX4,17,0.04601661635496321
DCDC2,20,0.17925340176575155
KIAA0319,0,0.0018546486919637898
C6orf62,0,0.08247605151797925
SLC17A1,9,0.18035879637133376
HIST1H4H,5,0.001619738836486998
ZKSCAN4,8,0.0018309089662624646
ZSCAN31,14,0.004084817754118306
UBD,16,0.00383611953740294
GABBR1,16,0.009844564122725026
PPP1R10,14,0.03331678098446595
PPP1R18,17,0.005563237069953891
NRM,5,0.00905288392376635
FLOT1,2,0.04887688305951887
HLA-B,2,0.019521917108832075
C6orf47,7,0.007269510225951449
HSPA1L,7,0.000995559413801371
SLC44A4,3,0.0012376540388384615
PRRT1,11,0.0015916120646516478
AGPAT1,1,0.0410016871584459
PBX2,16,0.01430044685546132
GPSM3,1,0.002907001416056436
HLA-DOA,7,0.0006686000149272518
HLA-DPA1,6,0.0023390492817472242
B3GALT4,1,0.002215284419772404
KIFC1,17,0.009732611805411753
UQCC2,1,0.03859952328653578
SLC26A8,13,0.0019522596822608412
CPNE5,6,0.001409549165872443
PPIL1,17,0.014881811251104096
TMEM217,19,0.0057922243900675845
BTBD9,10,0.19967222627647643
SAYSD1,0,0.006827789892528885
KIF6,20,0.199386295564695
MOCS1,1,0.009575154920285395
LRFN2,7,0.0009356246437413496
UNC5CL,10,0.00124645431553497
OARD1,12,0.02855887577212541
APOBEC2,7,0.0008824776225783816
USP49,16,0.022130177127634373
MED20,17,0.00758219882491055
CRIP3,5,0.008846783128883595
DLK2,5,0.0012916454709033973
SLC35B2,5,0.021312385869107994
NFKBIE,7,0.004377480322506938
TMEM151B,4,0.001692698469121025
RCAN2,3,0.00270624470350269
PTCHD4,1,0.0014113158796753018
PKHD1,20,0.28583995130982587
MCM3,5,0.024684222848229246
TRAM2,4,0.03193430833132303
KLHL31,10,0.006010926337133712
FAM83B,16,0.0021129994725602196
HCRTR2,18,0.001355543474073163
B3GAT2,0,0.0058865239117227835
KCNQ5,1,0.01140343445045281
OOEP,15,0.0008922956288873032
EEF1A1,3,0.177192984011224
ELOVL4,16,0.012511666094120282
UBE3D,9,0.05177480864482981
KIAA1009,12,0.10446206984114831
C6ORF165,12,0.0007569407742905237
AKIRIN2,4,0.020338630121611873
UBE2J1,12,0.03050939336678084
BACH2,7,0.021908405277977234
EPHA7,13,0.010349121960534748
MMS22L,12,0.023047754899070023
FAXC,2,0.01035516845470353
SCML4,10,0.017205150814401233
OSTM1,12,0.015500776864848752
SESN1,19,0.041481844207579215
MICAL1,14,0.004643512954386896
FIG4,4,0.024740405081523222
TUBE1,15,0.010728747240139272
HS3ST5,16,0.004304659698629129
ZUFSP,15,0.00793972157449441
TBC1D32,16,0.019566752051795873
TMEM200A,2,0.0020627549408547474
CTGF,3,0.008595109503146351
MOXD1,3,0.0022011456518137252
MTFR2,14,0.001985729155541464
IFNGR1,0,0.027011881368636304
NMBR,4,0.0009409661910282555
PLAGL1,7,0.01097768255928502
ZBTB2,11,0.011879274826147828
MTRF1L,4,0.0035448707945774046
RGS17,5,0.003028117252453178
TFB1M,20,0.03347930699608871
CLDN20,18,0.0006609042009010208
DYNLT1,0,0.012356740598884013
IGF2R,3,0.5193270061395221
SLC22A2,15,0.0012819433016172045
PARK2,20,0.22341399287073554
PACRG,20,0.026078856857444065
CYP2W1,11,0.0007913717822957812
SDK1,8,0.0647246012309012
RADIL,3,0.0024140797231959744
TNRC18,20,0.05521249055186532
ACTB,2,0.20188667124546264
CYTH3,7,0.007958375525636545
CCZ1B,8,0.0047900666463135105
NDUFA4,2,0.10605677657204979
THSD7A,19,0.022270587573564975
ETV1,4,0.027906558530002804
DGKB,8,0.020623443120084264
AGMO,20,0.2923109896869694
SNX13,19,0.04798684058775169
RAPGEF5,8,0.10037290479812579
SKAP2,2,0.02286881716096676
HOXA3,7,0.0007938133405295219
CPVL,1,0.023661978131714976
GGCT,2,0.012845345007395741
AQP1,3,0.011826458690335443
NEUROD6,5,0.002346492936767315
PPP1R17,10,0.0014356513370207945
PDE1C,6,0.0035083563568261587
RP9,4,0.013119501670165656
HERPUD2,13,0.04163898375769039
AOAH,7,0.007149017298531911
ELMO1,20,0.036705869999612145
EPDR1,14,0.004617309836533387
VPS41,16,0.04565055545143413
POU6F2,8,0.006068347583224708
C7orf25,10,0.0010322886247064404
DDX56,17,0.02814432754288025
IGFBP1,14,0.11525678776791412
IGFBP3,2,0.060367867564407485
ZPBP,15,0.0008035365087404379
SEC61G,14,0.054177324795121905
ERV3-1,19,0.00790305690631871
CALN1,6,0.01320947206123311
FZD9,1,0.0015273717603150165
BAZ1B,13,0.08185518432362636
CLDN4,2,0.0024475907498580276
FGL2,17,0.0016545398845728575
MAGI2,20,0.14006976441261126
SEMA3C,2,0.010281412854734556
PCLO,20,0.03602826585980606
STEAP4,19,0.0009001471342438062
ZNF804B,20,0.005667119977633739
MTERF,10,0.02866423335786049
CDK6,16,0.0922701320517227
SAMD9,1,0.004982740244211607
SAMD9L,1,0.0015099914783538043
CALCR,14,0.0028639775285646193
COL1A2,17,0.05313698631104609
PDAP1,2,0.019190787799637034
ATP5J2-PTCD1,4,0.0036069558005716582
ZNF394,19,0.013854359216498108
CYP3A5,20,0.12587510650454795
CYP3A4,15,0.000719286426830596
CYP3A43,20,0.013086685243387144
AZGP1,14,0.12438242456726799
TAF6,5,0.016801166963358195
C7orf43,0,0.005273331616208574
ZCWPW1,13,0.005511579052635746
TSC22D4,16,0.01855650437994488
GIGYF1,13,0.03340385836664454
ACHE,1,0.009465337913960694
SERPINE1,11,0.008551603010982933
FIS1,17,0.06200729091226645
ALKBH4,7,0.01101364009293535
SLC26A5,7,0.003519195439875983
RELN,17,0.08145029601593401
GPR22,3,0.0008191194599521897
SLC26A3,1,0.00280895230888602
PNPLA8,15,0.033581450921624595
IMMP2L,20,0.27046975434956005
LINC00998,14,0.0174910717967296
FOXP2,9,0.3595796845048102
TFEC,13,0.001104249898513417
CFTR,16,0.004690206445972858
CTTNBP2,20,0.03948226083929438
IQUB,6,0.0008686060318130195
POT1,20,0.021988720664244166
GRM8,10,0.04065076992597894
RBM28,12,0.01606831716011326
CCDC136,7,0.0013562326930376652
UBE2H,15,0.18405313326077752
AKR1B1,6,0.0036034217620798813
SLC13A4,11,0.00200551302921095
PTN,14,0.015691611357773798
TMEM213,4,0.0012307762212404728
KIAA1549,15,0.017490735304021083
SLC37A3,16,0.01622140814888294
EZH2,11,0.028931081605676916
ZNF783,5,0.0030239387343677718
GIMAP4,1,0.0016884003346052537
KCNH2,6,0.015735605323440944
PAXIP1,4,0.019958830332318284
C7orf13,7,0.0017615414977168499
ANGPT2,17,0.0026875060934970253
SGK223,6,0.013506017757089995
XKR6,16,0.03415171947863665
C8orf12,21,0.0010550661987961884
RP11-297N6.4,6,0.0019226118420508853
DLC1,9,0.5147686298991937
SGCZ,5,0.009763892108531142
CNOT7,13,0.0384083966702162
MTMR7,8,0.006068402437286798
MTUS1,20,0.13831913568521245
LZTS1,11,0.0005713439351686584
DOK2,18,0.0015079917852245466
REEP4,15,0.003816581724318342
LOXL2,6,0.008118560995350386
NEFM,6,0.001051753738097751
EBF2,9,0.001112028972443408
PNMA2,18,0.0011647965850074
ADRA1A,4,0.0031164932551895758
STMN4,7,0.00275027820233381
PBK,17,0.014221780878914838
DUSP4,21,0.0014521903553067653
RBPMS,20,0.14404045016577852
PURG,18,0.0011924071121961449
NRG1,9,0.12342595675405652
TTI2,16,0.011013731094641925
RNF122,17,0.007722593756181145
KCNU1,8,0.02063495324523606
STAR,3,0.10487048897909294
ZMAT4,17,0.004493957093744158
ANK1,3,0.15896572516083912
PLAT,7,0.003916290389234457
THAP1,7,0.003684084789067589
POMK,10,0.0030173354028180245
CEBPD,17,0.028141690648489717
SNAI2,6,0.008172831222567614
PXDNL,11,0.006291202899312636
IMPAD1,2,0.04977795986497275
CA8,6,0.014148450599026046
GGH,3,0.09711884285596191
MYBL1,11,0.005079529861524836
PPP1R42,9,0.0011537191745039333
CSPP1,20,0.09223892248310546
RP11-463D19.2,19,0.0015461859140163154
JPH1,15,0.0026907292124505027
RP11-758M4.1,11,0.0007139919129054197
PKIA,2,0.005965660583082579
SNX16,16,0.009072203725006505
RALYL,20,0.06162123908006723
AC117834.1,20,0.00100513015941153
