,clusters,mean
CMTM6,11,0.06307662020583141
TMPPE,14,0.00032072424010479037
SUSD5,8,0.005634092417551534
SLC22A13,8,0.0002672297793915241
GORASP1,20,0.012042450559570006
CX3CR1,12,0.00047522452618041874
CYP8B1,20,0.00019986570364319357
POMGNT2,16,0.00956573731609253
CXCR6,3,0.00017343551060663303
CCR1,0,0.0007037016490296199
LTF,7,0.0006554444500078446
CSPG5,3,0.0012800436302631995
CCDC51,8,0.003470591993111007
UQCRC1,4,0.0549539100673272
ARIH2OS,9,0.0010390487001471517
RP11-3B7.1,9,9.693651604962193e-05
CDHR4,7,0.00015612352012597076
VPRBP,13,0.03598974621864533
ABHD14B,4,0.02561973073910202
TNNC1,10,0.028191050670304935
WNT5A,7,0.0033145050742891353
FAM3D,0,0.002445646016743421
ADAMTS9,5,0.15565779920564107
EOGT,0,0.004779367211578292
PDZRN3,15,0.012750371318037568
ROBO2,1,0.09617639820547415
ROBO1,2,0.11449272411296475
VGLL3,16,0.013142490860586692
MTRNR2L12,4,0.015020657666187338
EPHA6,13,0.022121315931566462
DCBLD2,13,0.17882369753053237
FILIP1L,17,0.026532680050599024
NFKBIZ,7,0.05644563943899712
CD47,10,0.2287598443696372
IFT57,4,0.04517025524276903
MYH15,10,0.0009592558891223432
ZBED2,6,0.00022729053671440068
GCSAM,7,0.0003904916229263486
CCDC80,17,0.002786805550066505
DRD3,10,0.00029922396148015926
LSAMP,4,0.039197753227087406
RP11-484M3.5,5,0.00024262981597731364
HGD,9,0.0005509195223577459
POLQ,3,0.019891183801594426
CCDC58,13,0.011659805686517363
PARP15,9,0.00026073496239537004
SLC41A3,8,0.017774034759200627
CCDC37,8,0.00043900727438179706
RUVBL1,1,0.022239365890749978
GATA2,11,0.0007029253321802046
RPN1,15,0.07348742981779494
RP11-723O4.6,9,0.0002540023392682494
ISY1-RAB43,8,0.0008373048396332668
CPNE4,19,0.03133471879421745
ANAPC13,13,0.015795688420711752
CLDN18,20,0.20729881654500068
RBP2,10,0.0009474273099552418
CP,2,0.009730179166838493
TM4SF1,11,0.006388443664312882
ANKUB1,11,0.015372299782282155
FAM194A,2,0.0009224867530885935
RP11-166N6.3,3,9.899465465347049e-05
GPR171,14,0.00010133651580865446
P2RY14,12,0.001104352120080825
P2RY12,6,0.00026046245713170894
IGSF10,2,0.003911304504807412
TMEM14E,12,0.0005973437464047332
GPR149,20,0.0008653297107102135
C3orf33,4,0.015958064755986094
RARRES1,7,0.006349748289398364
RP11-432B6.3,3,0.014424895440432762
SPTSSB,3,0.008576052018055691
ZBBX,2,0.0018365511383611815
SERPINI2,0,0.002494420694212775
WDR49,2,0.00574951148059206
EIF5A2,7,0.000485107734494524
PP13439,0,0.00039634532262969676
TNFSF10,0,0.002985749350909314
NCEH1,2,0.017274327518786867
