C,Z,Pval,FDR,module,gene
0.005510379171158108,2.4787774811427816,0.0065916761520403285,0.012544837994021842,-1,MID1IP1
0.004683079262511991,2.478478535958848,0.00659720247853887,0.012554381668931006,-1,EIF5AL1
0.004357843312019311,2.4783313343326885,0.006599925165411826,0.012558588991473387,-1,AP000926.2
0.005594905666906947,2.4781943208089685,0.006602460302677567,0.012562438812701002,-1,SMIM15
0.006741484903534271,2.477965263246006,0.006606700437594723,0.012569531868362295,82,AC008752.1
0.005125938235773987,2.477123239773176,0.006622308018486477,0.012598249202700957,12,AC076968.2
0.005623151815888383,2.476550651892323,0.006632940005884685,0.012617497271659246,113,RTN2
0.005098440127992078,2.4758432932390853,0.006646095292166424,0.012641541925003635,-1,SLX1B
0.006583631366701564,2.4751560772513503,0.006658898053250012,0.01266491236464905,98,AC016027.2
0.0060740810380262075,2.4749452898685083,0.006662829366358514,0.012671407410762735,-1,EMC2
0.005476171603561221,2.4743706871638107,0.006673556477740077,0.012690824737078717,116,TAC4
0.00568482970870841,2.4734213588046776,0.006691312693476697,0.012723604973671032,-1,RGSL1
0.005376836125713993,2.473016954422672,0.006698889337239545,0.012737025061717122,-1,AC112721.2
0.008107235588484345,2.472854708898499,0.006701931188897069,0.012741821449162872,83,AC006305.1
0.007053212503266867,2.4724147659574403,0.006710185579678991,0.01275652649052857,-1,TRIM10
0.00676970232635649,2.47226969596013,0.006712909411873534,0.012760716094040177,-1,AC025580.3
0.00581672362827622,2.472078819070798,0.006716494802238543,0.012766542676385096,-1,AFG3L2
0.004884174600024756,2.4720237943913985,0.0067175286881540446,0.012767518896957021,13,LINC00670
0.007250645437904099,2.470981825447335,0.006737133323702969,0.012803788307802601,-1,AP001029.2
0.004211401822149845,2.4702897296838695,0.006750183026097903,0.012827595545374153,-1,ANGPTL5
0.005417615814793179,2.4701507920553674,0.006752805432889671,0.01283158529639768,129,CACNA1C
0.00509119284146935,2.4699953934492442,0.0067557396022412935,0.012836166790507093,-1,PTCD3
0.009358755304408292,2.469865964777828,0.006758184278293254,0.012838849863543654,-1,AC138956.2
0.0054700714469375685,2.4698652320283894,0.006758198120844101,0.012838849863543654,-1,CPSF7
0.005308077327138114,2.469689510419742,0.006761518444667446,0.012844163269367895,-1,LINC00653
