C,Z,Pval,FDR,module,gene
0.06798901227692611,50.96100751089116,0.0,0.0,11,ZNF608
0.06511260846482991,50.85262806066601,0.0,0.0,19,CCDC67
0.06540960120391467,50.815102412231425,0.0,0.0,18,RGL1
0.058135543755573706,50.809784367284685,0.0,0.0,17,KIRREL
0.0618776401623526,50.7884217827191,0.0,0.0,16,STMN3
0.09872432928283272,50.783727493817665,0.0,0.0,13,CENPM
0.06936009975032453,50.781926269662875,0.0,0.0,16,TERF2IP
0.06524637629489738,50.736743008549794,0.0,0.0,7,CNKSR3
0.06062374485805396,50.7192133184002,0.0,0.0,16,REEP2
0.0671021497952404,50.67457636033164,0.0,0.0,25,DOCK8
0.07966013388255941,50.65790323917428,0.0,0.0,21,EXOC4
0.10262116765549363,50.650972591058164,0.0,0.0,4,NCAPH
0.09449171671947562,50.62477346475552,0.0,0.0,57,ZFAND2A
0.07834928577847979,50.61689641336349,0.0,0.0,17,LPHN2
0.06715279272291456,50.61666043913528,0.0,0.0,25,SLC2A13
0.0538469776434575,50.58834170376936,0.0,0.0,33,CDH12
0.062325915239294996,50.580621568963295,0.0,0.0,-1,CABP7
0.06623179427143419,50.57641208178781,0.0,0.0,-1,PCYT1B
0.08281256164287137,50.462036755806785,0.0,0.0,24,COX4I1
0.06776664927297608,50.41810470168689,0.0,0.0,-1,PPP1R14C
0.07230986138469722,50.371657091570874,0.0,0.0,11,KIF1B
0.07096801355890794,50.35020356784926,0.0,0.0,11,FER
0.06595428429675494,50.21617501139152,0.0,0.0,16,ATP6V0A1
0.06977067368147148,50.1488284560411,0.0,0.0,11,NCOA2
0.05924445509578373,50.14752858952241,0.0,0.0,7,KL
0.0623852285084023,49.94038579042514,0.0,0.0,-1,MAP1A
0.06511318281424605,49.93041098460636,0.0,0.0,7,DPYD
0.06695244093230908,49.8880823324931,0.0,0.0,27,ZNF385D
0.08223593538507724,49.88749524065563,0.0,0.0,57,RAI2
0.0919650791289296,49.879529304133385,0.0,0.0,4,SGOL2
0.06731067965879363,49.817122518084545,0.0,0.0,18,XPR1
0.06646571044156704,49.814954309374784,0.0,0.0,16,MARCH8
0.06927752495788457,49.814315853714604,0.0,0.0,18,PI4KA
0.09271034795966288,49.79555277337632,0.0,0.0,13,TYMS
0.08922296436875961,49.72174878922807,0.0,0.0,30,NPAS2
0.070545425336598,49.652045080062514,0.0,0.0,11,N4BP2L2
0.05392724561025854,49.61394842696827,0.0,0.0,-1,TRPC6
0.06020119324023125,49.55685812927579,0.0,0.0,19,AC110781.3
0.06383748609512108,49.5374923953501,0.0,0.0,24,HIGD2A
0.09980925290878336,49.51164758603284,0.0,0.0,36,HIST1H2BK
0.07068298819098674,49.486272746722555,0.0,0.0,18,MEF2A
0.06434615807814656,49.47432134954871,0.0,0.0,13,SLFN13
0.056205862760055104,49.43507526242274,0.0,0.0,-1,SPNS2
0.066749324319872,49.42422498494938,0.0,0.0,16,PNMA2
