"gene_name","module","kME"
"C19orf48","turquoise",0.218035364014473
"ANGPTL4","turquoise",0.217512744933376
"TGFBR3","turquoise",0.216664889191374
"CD151","turquoise",0.21612601627564
"MLEC","turquoise",0.215643030259218
"C12orf39","turquoise",0.215366642832847
"STXBP6","turquoise",0.215089354415043
"PDIA3","turquoise",0.214848075529523
"SQLE","turquoise",0.214534069067216
"SLC16A10","turquoise",0.213805902780557
"TOB1","turquoise",0.213394630794871
"LGALS3BP","turquoise",0.212723843129214
"ROR1","turquoise",0.212110530610079
"MEST","turquoise",0.209953108186082
"GFRA3","turquoise",0.209933459961206
"NPW","turquoise",0.209908962425698
"C19orf10","turquoise",0.20959444577149
"CD99","turquoise",0.208821038749292
"GALNT7","turquoise",0.20774234206631
"GABBR2","turquoise",0.207648608559262
"G0S2","turquoise",0.207455089236452
"PODXL","turquoise",0.206024148192256
"TMED6","turquoise",0.206000782064033
"C7orf10","turquoise",0.205435143003392
"MET","turquoise",0.204900220408433
"MGST1","turquoise",0.204692794404244
"MACC1","turquoise",0.204193543467263
"TXNIP","turquoise",0.203650036804107
"HIST1H2AC","turquoise",0.202986646299301
"HM13","turquoise",0.202514469368135
"CADPS2","turquoise",0.202512409633167
"UST","turquoise",0.202382640717697
"BNC2","turquoise",0.202110741925743
"DNAJC3","turquoise",0.202097819512124
"CEBPD","turquoise",0.201690754433095
"NOS1","turquoise",0.20144673194892
"GJB1","turquoise",0.201422696921622
"TMEM97","turquoise",0.201414422497659
"FAM3B","turquoise",0.201347604331174
"ARHGEF28","turquoise",0.199654672914208
"DNAJB9","turquoise",0.199349459542043
"TPRN","turquoise",0.198620928774565
"SERPINB1","turquoise",0.198597340110674
"ONECUT1","turquoise",0.198479075209659
"FBLN5","turquoise",0.198146351831942
"PDZRN4","turquoise",0.19775326302193
"GAMT","turquoise",0.197408111775704
"ERGIC3","turquoise",0.194974811681342
"PNRC1","turquoise",0.19477337665932
"QPRT","turquoise",0.194591387497449
"CYFIP1","turquoise",0.194441665386743
"SLC22A23","turquoise",0.194026857215207
"CSRP1","turquoise",0.193861419561082
"IL1RAPL1","turquoise",0.19366149671538
"KANK4","turquoise",0.193659783126168
"PLXNA2","turquoise",0.192958540409028
"RASEF","turquoise",0.19292270214374
"SERF2","turquoise",0.192138526047583
"IFRD1","turquoise",0.192039087269287
"LDHB","turquoise",0.19039471129541
"CLDN1","turquoise",0.189406325999282
"UTRN","turquoise",0.186205618338429
"MYO1C","turquoise",0.185782108520245
"AHCYL1","turquoise",0.185550017638052
"NFKBIA","turquoise",0.185444898217962
"UBA52","turquoise",0.18512427910614
"SMIM14","turquoise",0.184700685361669
"PAPSS1","turquoise",0.184125061868218
"PGM3","turquoise",0.18289890547474
"GALNT2","turquoise",0.182733729984847
"ITGA6","turquoise",0.182433377028434
"BIRC2","turquoise",0.182367575773977
"SERBP1","turquoise",0.182072683289862
"FGFR1","turquoise",0.181849115546098
"PIP5K1B","turquoise",0.180659163355596
"VAMP8","turquoise",0.180606963398505
"C4orf19","turquoise",0.180036601357916
"PBLD","turquoise",0.179678741259115
"SLC40A1","turquoise",0.178750650958262
"EFHD2","turquoise",0.178469882291349
"LRRC59","turquoise",0.178450575590422
"TMBIM1","turquoise",0.178002575779023
"SCOC","turquoise",0.177811611263571
"ARRDC4","turquoise",0.177664772761332
"SEC61B","turquoise",0.177287420260628
"LDHA","turquoise",0.176413960509817
"RPN1","turquoise",0.176308005493895
"ERN1","turquoise",0.176118244543179
"RHOBTB3","turquoise",0.175515888217611
"QSOX1","turquoise",0.175505407298828
"EPB41L4B","turquoise",0.175426547387443
"HSPB1","turquoise",0.173375376614962
"NTN4","turquoise",0.173200861024873
"JAG1","turquoise",0.172623633500954
"PARD3","turquoise",0.172345954173568
"EIF2S3","turquoise",0.171759189061411
"CCDC110","turquoise",0.17168384576876
"EFCAB4A","turquoise",0.171653404148747
"FCGRT","turquoise",0.17163355295297
"DNAJC10","turquoise",0.171564792843585
"EPAS1","turquoise",0.171241734444128
"SMAD3","turquoise",0.170982924050989
"PAG1","turquoise",0.170981622289134
"EEF1A1","turquoise",0.170698657932467
"TCF7L1","turquoise",0.170105551106024
"KDELR2","turquoise",0.169949731958209
"FBL","turquoise",0.169880810033445
"PRSS8","turquoise",0.169007657348279
"FDFT1","turquoise",0.16893645897247
"C5","turquoise",0.168681906888705
"ERLEC1","turquoise",0.168163149104591
"ENTPD3","turquoise",0.167855968123431
"MAGT1","turquoise",0.167853493539419
"CHST11","turquoise",0.166921210044928
"SOGA2","turquoise",0.166449424460251
"SERPINF2","turquoise",0.166319050185481
"SUSD4","turquoise",0.165960595953549
"TMED3","turquoise",0.165300673736658
"CRAT","turquoise",0.164622878438373
"B2M","turquoise",0.164091390498677
"VCL","turquoise",0.164078530420957
"PTP4A2","turquoise",0.163418391790402
"GRB10","turquoise",0.163398079290347
"PPP1R3C","turquoise",0.162656350968888
"CHMP2B","turquoise",0.162231470150729
"TXNDC12","turquoise",0.161377375965513
"GIPC2","turquoise",0.160964023451911
"TMBIM6","turquoise",0.160669906088124
"SRPRB","turquoise",0.160477806225416
"PRDX6","turquoise",0.160033799675993
"LMAN1","turquoise",0.158930428530435
"BACE1","turquoise",0.158895809340826
"PARVA","turquoise",0.158838078251597
"OXA1L","turquoise",0.158471123422534
"ATP8B1","turquoise",0.158153053514494
"LMF2","turquoise",0.158039998500289
"ALDH1A1","turquoise",0.157814712720054
"ADAMTS17","turquoise",0.15759001404113
"GIT2","turquoise",0.157130741798065
"CERS4","turquoise",0.157015458234184
"RSL1D1","turquoise",0.156695140264473
"TMEM214","turquoise",0.156490575501748
"ERI3","turquoise",0.156264453259593
"KIAA1671","turquoise",0.156159199740276
"FKBP10","turquoise",0.155740719232158
"SLC25A5","turquoise",0.155187057102409
"NACA","turquoise",0.154794168589632
"HDHD3","turquoise",0.154389666153918
"KIAA0922","turquoise",0.153773811126324
"PPIC","turquoise",0.152889058015082
"SRM","turquoise",0.152745416369308
"BNIP3","turquoise",0.152422665553595
"ADAMTS9","turquoise",0.152310531692279
"NPAS2","turquoise",0.152270559085542
"HNRNPA1","turquoise",0.151994591361871
"KSR1","turquoise",0.151717730719571
"GPT2","turquoise",0.151545353133051
"FAM162A","turquoise",0.150943464419517
"SIGMAR1","turquoise",0.150840030528463
"PLOD1","turquoise",0.150412060795661
"SEPP1","turquoise",0.150366873722491
"STK38L","turquoise",0.150082665991317
"SIX5","turquoise",0.149393185389981
"SH2D4A","turquoise",0.148587845649668
"FKBP2","turquoise",0.14833695214424
"CYP51A1","turquoise",0.14794253964204
"EZR","turquoise",0.147689826080445
"CST3","turquoise",0.145777946958545
"DLG3","turquoise",0.144485237525773
"GOLGB1","turquoise",0.144354918322292
"SOX9","turquoise",0.144172850621426
"ATF4","turquoise",0.143910409965557
"ARF4","turquoise",0.143529626632756
"MKNK2","turquoise",0.143299278488227
"GOLGA8B","turquoise",0.143244417009331
"ZFHX3","turquoise",0.142704162333415
"GPR160","turquoise",0.14255136764228
"BTF3","turquoise",0.14235076466942
"TPD52L1","turquoise",0.141988912803384
"SLC30A1","turquoise",0.141756076038147
"GRN","turquoise",0.141034264787027
"UBC","turquoise",0.140050778493766
"AHCY","turquoise",0.14003205102414
"TRIB1","turquoise",0.14003184286505
"SRPR","turquoise",0.139829860092338
"HDAC11","turquoise",0.139811904821866
"SEC31A","turquoise",0.139479183581813
"NCL","turquoise",0.138765085454176
"IL17RA","turquoise",0.138518039513118
"HOMER2","turquoise",0.138299849922276
"OST4","turquoise",0.137841126226249
"RNF181","turquoise",0.136661212178106
"HTT","turquoise",0.135870410831766
"CXXC5","turquoise",0.13562306483912
"ADI1","turquoise",0.135280557321646
"CHPF","turquoise",0.134988330994553
"DENND1B","turquoise",0.134497288558219
"ARHGAP18","turquoise",0.134008029801384
"MLXIP","turquoise",0.133980038500475
"KLF10","turquoise",0.133892968120848
"ITPRIPL2","turquoise",0.133881155761522
"EIF3G","turquoise",0.133759513216231
"TEX14","turquoise",0.133649771059975
"MGAT1","turquoise",0.133328959593179
"CALM3","turquoise",0.133291925791989
"EPHB4","turquoise",0.133288043407824
"JAK1","turquoise",0.133277617725347
"EPHA6","turquoise",0.133266021917446
"ERGIC1","turquoise",0.133108349413023
"HYOU1","turquoise",0.13269736658353
"CHRNB1","turquoise",0.132493056674677
"DUSP1","turquoise",0.132088085795978
"KIF1C","turquoise",0.132012475420507
"THRB","turquoise",0.131947182417019
"GNPNAT1","turquoise",0.13181226553389
"DHCR7","turquoise",0.131149067997611
"FKBP5","turquoise",0.131129019637663
"SHISA5","turquoise",0.131123199661533
"HID1","turquoise",0.130856731064906
"COL1A2","turquoise",0.130109119059026
"TSPAN6","turquoise",0.129992162020407
"NR4A1","turquoise",0.129697784448172
"RPSA","turquoise",0.129359323823091
"FUT8","turquoise",0.129241403185762
"EDF1","turquoise",0.129148492674633
"SEC61G","turquoise",0.129112838376847
"ZFPM1","turquoise",0.127229679535429
"ECI2","turquoise",0.127100317535001
"TBC1D1","turquoise",0.126865436675042
"SLC38A11","turquoise",0.126636324007855
"MARVELD3","turquoise",0.126497775792232
"MARCH3","turquoise",0.126162833410615
"MTR","turquoise",0.126105140960982
"UGT2B7","turquoise",0.126059851163315
"NOSIP","turquoise",0.126021285688215
"IMPDH2","turquoise",0.125524053054361
"IDI1","turquoise",0.125318072428529
"MSMO1","turquoise",0.125231064901833
"SLC2A10","turquoise",0.124713142686354
"RNF144A","turquoise",0.124571647196433
"CYHR1","turquoise",0.124365150783165
"KIAA0930","turquoise",0.124234386486209
"KCND3","turquoise",0.124104305774542
"TUBB4B","turquoise",0.123810871296069
"SLC35E1","turquoise",0.123328696147772
"GPC3","turquoise",0.122919351260915
"SLC8A2","turquoise",0.122751425623328
"MPST","turquoise",0.122688238249103
"PTMA","turquoise",0.12252995938479
"LTBP3","turquoise",0.121621742148915
"CMBL","turquoise",0.121618559300865
"SAMHD1","turquoise",0.121513561173055
"DHRS3","turquoise",0.121513303513111
"LAMB3","turquoise",0.121307745549036
"PFKFB4","turquoise",0.121213052360351
"SLC33A1","turquoise",0.120536352209527
"KCNH3","turquoise",0.120319929004567
"CSGALNACT1","turquoise",0.120240000035309
"DNMBP","turquoise",0.120108612145185
"CSRNP1","turquoise",0.120052043262162
"ST6GALNAC4","turquoise",0.119909896840966
"MTDH","turquoise",0.11987244546213
"SEPHS2","turquoise",0.119475996905789
"GORASP2","turquoise",0.119360800313263
"AURKAIP1","turquoise",0.11904643680892
"PSEN2","turquoise",0.119006977593248
"GALM","turquoise",0.11896611360924
"FGFRL1","turquoise",0.118624921601533
"TMEM123","turquoise",0.118467057771037
"RHOC","turquoise",0.118199300072673
"ATRAID","turquoise",0.117836560853139
"NRCAM","turquoise",0.117813499263681
"IQGAP1","turquoise",0.117651264720424
"PXDN","turquoise",0.117337532564881
"DAG1","turquoise",0.117228378422203
"ZBED1","turquoise",0.116842586970818
"LEPREL4","turquoise",0.116785484193013
"TMEM14A","turquoise",0.116571535042297
"AKR7A2","turquoise",0.116356562703052
"C10orf11","turquoise",0.115845810003808
"NPHS1","turquoise",0.115718239967372
"CHN2","turquoise",0.115642188102115
"PTBP3","turquoise",0.115464086133206
"DHRS7","turquoise",0.115435989362033
"NCSTN","turquoise",0.115169858679997
"FNDC3B","turquoise",0.115102498699894
"MID1","turquoise",0.114993251209863
"ZDHHC2","turquoise",0.114933978744658
"GDF15","turquoise",0.114857389213671
"B4GALT2","turquoise",0.114576724935557
"ORMDL3","turquoise",0.1143632426947
"CREG1","turquoise",0.114359868341566
"RNASET2","turquoise",0.114130881424364
"GPRC5C","turquoise",0.113882210442312
"PGRMC2","turquoise",0.113782963427412
"SGK3","turquoise",0.113779663986858
"LASP1","turquoise",0.113657397378449
"FAM114A1","turquoise",0.113281936618602
"EIF2AK3","turquoise",0.113237591769394
"GOLGA4","turquoise",0.113224613080659
"DNAJB4","turquoise",0.113156255352673
"ELOVL7","turquoise",0.112996855578442
"PRKCD","turquoise",0.11275076708503
"PRELID1","turquoise",0.11266828354967
"MED16","turquoise",0.112512737125156
"GMPPA","turquoise",0.112063502435296
"TMEM125","turquoise",0.111536857068999
"CCNC","turquoise",0.111459080826962
"TEAD3","turquoise",0.11118089843338
