"gene_name","module","kME"
"MTTP","blue",0.133118586669693
"MRFAP1","blue",0.132853952145604
"ENO1","blue",0.132651552852943
"TMEM66","blue",0.132584661028585
"NKAIN2","blue",0.132582180242131
"CMTM6","blue",0.131968303298092
"FURIN","blue",0.131858460418756
"COX4I1","blue",0.131779975353521
"CP","blue",0.131646358329684
"EDF1","blue",0.131502440629751
"MT1M","blue",0.131501709847599
"UQCRQ","blue",0.131234544567629
"NGFRAP1","blue",0.130974026431769
"TMEM141","blue",0.13084228794188
"ATP5A1","blue",0.130792373253731
"FGL1","blue",0.13070197981611
"CD302","blue",0.130546195350889
"STAR","blue",0.13053374821305
"PCBD1","blue",0.130525473116692
"NDUFB9","blue",0.130112095673932
"GSTO1","blue",0.129879955709868
"LSM4","blue",0.129832386333301
"ATPIF1","blue",0.129688754234845
"HYAL1","blue",0.129403282065092
"ACTB","blue",0.129110142508309
"LDHA","blue",0.129030586817025
"NDUFA13","blue",0.12880423974722
"KRT8","blue",0.128795417630387
"EEF1D","blue",0.128599539230802
"F7","blue",0.128478727025331
"EIF1","blue",0.128426072080372
"SLC25A3","blue",0.128401951999748
"TMED9","blue",0.128148802761546
"CAT","blue",0.127953599330778
"PHB2","blue",0.12770841399154
"F2","blue",0.127563463015422
"ATP5J","blue",0.12754975477521
"TMSB10","blue",0.127191122703761
"SERPINA10","blue",0.127097407064505
"C19orf43","blue",0.127053159698912
"HSPA5","blue",0.127047696693006
"SOD1","blue",0.12678916337717
"SLC25A6","blue",0.126729626682889
"MARCKS","blue",0.126654895393503
"PGRMC2","blue",0.126379055639752
"NCOA4","blue",0.126378068713386
"HABP2","blue",0.126326980096638
"ACADSB","blue",0.126292241604442
"DCXR","blue",0.126194459895836
"KDELR1","blue",0.126072675650168
"ARL6IP1","blue",0.126072090561294
"LRP1","blue",0.125727916702705
"HSPE1","blue",0.125724207840265
"C1orf115","blue",0.125173525976301
"HDGF","blue",0.125131942052687
"SLC25A39","blue",0.124777370964732
"KHSRP","blue",0.124631286959517
"SSR2","blue",0.124587651423578
"WDR83OS","blue",0.124245990066593
"NR2F6","blue",0.124150654660053
"MAZ","blue",0.124066010020334
"SHISA5","blue",0.124039991956183
"LECT2","blue",0.123982427069828
"ALAS2","blue",0.123900882307558
"HMBS","blue",0.12376330749492
"ANG","blue",0.123429211818726
"TGOLN2","blue",0.123337821449573
"TGFBI","blue",0.123288257225744
"DDOST","blue",0.123269703431363
"SSR3","blue",0.123242119585454
"SLC9A3R1","blue",0.122956570722941
"ATOX1","blue",0.122888832054947
"CCDC152","blue",0.122854921607765
"LMAN1","blue",0.122784060245398
"NPW","blue",0.122738267279881
"BTF3","blue",0.12217091332736
"VKORC1","blue",0.122046404479764
"RPSA","blue",0.121993826185012
"PSMB4","blue",0.121659034161497
"H3F3B","blue",0.121095053325872
"TXN2","blue",0.121074094253537
"SLC2A4RG","blue",0.12097799654445
"F5","blue",0.1204859415693
"GPC3","blue",0.119969332564883
"UQCRC1","blue",0.119592201469682
"KDELR2","blue",0.119492947046228
"IGFBP2","blue",0.119345506247768
"APMAP","blue",0.119262945450682
"CMBL","blue",0.119093999603861
"LEAP2","blue",0.118989409073659
"FETUB","blue",0.118948407514197
"CSDE1","blue",0.118854111124854
"GCHFR","blue",0.118769513983973
"SSR1","blue",0.118631691955359
"C19orf10","blue",0.118319159774286
"EIF4A2","blue",0.118193135451899
"CALM3","blue",0.118191232886136
"MPST","blue",0.118168259127236
"UBC","blue",0.118056281310068
"PA2G4","blue",0.118030607031478
"C4orf3","blue",0.118002229716794
